timestep, red, green, robot_middle
8877, [273 500], [366 471], [319 485]
9009, [271 500], [361 465], [316 482]
9042, [271 500], [354 465], [312 482]
9075, [270 500], [355 465], [312 482]
9141, [268 501], [355 461], [311 481]
9174, [268 502], [353 460], [310 481]
9405, [265 503], [348 451], [306 477]
9438, [265 503], [343 451], [304 477]
9471, [264 504], [343 450], [303 477]
9570, [262 505], [341 446], [301 475]
9636, [262 505], [338 444], [300 474]
9702, [261 506], [330 446], [295 476]
9834, [260 507], [327 442], [293 474]
99, [532 507], [630 512], [581 509]
